,Video Name,Arena,Trial Duration(Second),Last Modified Date,Animal id,Treatment,Side of partner,Timepoint,Sex,Cohort,Timeofday,Pair,Color,Novel,huddle time partner,huddle time novel,huddle time total,percent phuddle,chamber time partner,chamber time novel,chamber time center,latency partner huddle,latency novel huddle
20,CSIVideo_2022_5_25_10_51_5.mpg,5,9000,11/4/2022 9:34,4958,FF,left,ST,F,2,am,4958x4901,O,4978,1100.87,3400.33,4501.2,0.244572558,2478.11,6132.4,2189.49,317.42,61.43
23,CSIVideo_2022_5_25_10_51_5.mpg,8,9000,11/4/2022 9:35,4893,MM,right,ST,M,2,am,4893x4910,O,4959,5533.43,192.23,5725.66,0.966426578,7388.69,803.7,2607.61,226.79,7.74
22,CSIVideo_2022_5_25_10_51_5.mpg,7,9000,11/4/2022 9:35,4911,MM,left,ST,M,2,am,4944x4911,B,4948,2.2,2562.4,2564.6,0.000857834,1321.82,6386.65,3091.53,3553.92,16.92
24,CSIVideo_2022_5_25_15_46_6.mpg,1,9000,11/4/2022 9:36,4909,FM,right,ST,M,2,pm,4921x4909,B,4977,3230.26,5.84,3236.1,0.998195359,5974.94,909.78,3915.28,19.69,35.97
25,CSIVideo_2022_5_25_15_46_6.mpg,2,9000,11/4/2022 9:36,4928,FM,left,ST,M,2,pm,4960x4928,B,4966,965.63,3834.53,4800.16,0.201166211,2798.4,5600.43,2401.17,413.11,74.84
27,CSIVideo_2022_5_25_15_46_6.mpg,4,9000,11/4/2022 9:37,4896,FM,left,ST,F,2,pm,4896x4894,O,4957,7321.59,10.48,7332.07,0.998570663,8548.28,223.49,2028.23,33.07,293.13
29,CSIVideo_2022_5_25_15_46_6.mpg,6,9000,11/4/2022 9:37,4898,FF,left,ST,F,2,pm,4898x4920,O,4965,6478.78,12.45,6491.23,0.998082028,8758.32,82.05,1959.63,109.74,67.87
28,CSIVideo_2022_5_25_15_46_6.mpg,5,9000,11/4/2022 9:37,4901,FF,right,ST,F,2,pm,4958x4901,B,4926,6059.86,8.61,6068.47,0.998581191,7913.18,437.5,2449.32,19.02,60.49
31,CSIVideo_2022_5_25_15_46_6.mpg,8,9000,11/4/2022 9:37,4910,MM,left,ST,M,2,pm,4893x4910,B,4946,4137.94,209.41,4347.35,0.951830425,7570.84,884.62,2344.54,16.58,59.06
30,CSIVideo_2022_5_25_15_46_6.mpg,7,9000,11/4/2022 9:37,4944,MM,right,ST,M,2,pm,4944x4911,O,4961,0,1188.76,1188.76,0,45.75,8864.93,1889.32, ,1543.98
26,CSIVideo_2022_5_25_15_46_6.mpg,3,9000,11/4/2022 9:37,4962,FM,right,ST,F,2,pm,4962x4925,O,4987,107.27,54.32,161.59,0.663840584,607.77,2507.87,7684.36,1813.45,1645.35
43,CSIVideo_2022_6_6_11_10_19.mpg,4,9000,11/4/2022 9:39,4894,FM,right,LT,M,2,am,4896x4894,B,4979,3275.51,610.18,3885.69,0.842967401,5838.27,1872.41,3089.32,93.03,37.74
45,CSIVideo_2022_6_6_11_10_19.mpg,6,9000,11/4/2022 9:39,4920,FF,right,LT,F,2,am,4898x4920,B,4966,4571.3,682.72,5254.02,0.870057594,5978.28,1995.36,2826.36,55.89,13.41
40,CSIVideo_2022_6_6_11_10_19.mpg,1,9000,11/4/2022 9:39,4921,FM,left,LT,F,2,am,4921x4909,O,4957,6170.3,48.85,6219.15,0.992145229,8076.01,702.97,2021.02,56.09,2.24
42,CSIVideo_2022_6_6_11_10_19.mpg,3,9000,11/4/2022 9:39,4925,FM,left,LT,M,2,am,4962x4925,B,4965,1647.85,407.41,2055.26,0.801772039,3054.32,3638.97,4106.71,322.89,7.24
